<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.12.17,10:45:00,120417.55,120434.54511777,120355.561267606,120355.561267606,1,0,1
2024.12.17,11:00:00,120355.561267606,120370.381131559,120293.572535211,120293.572535211,2,0,2
2024.12.17,11:15:00,120293.572535211,120318.535559968,120231.583802817,120231.583802817,3,0,3
2024.12.17,11:30:00,120231.583802817,120252.029467609,120169.595070423,120169.595070423,4,0,4
2024.12.17,11:45:00,120169.595070423,120170.186558248,120104.294133431,120107.606338028,5,0,5
2024.12.17,12:00:00,120107.606338028,120118.087554876,120045.617605634,120045.617605634,6,0,6
2024.12.17,12:15:00,120045.617605634,120073.951769455,119979.461595232,119983.628873239,7,0,7
2024.12.17,12:30:00,119983.628873239,119996.74040875,119921.640140845,119921.640140845,8,0,8
2024.12.17,12:45:00,119921.640140845,119925.93775498,119859.651408451,119859.651408451,9,0,9
2024.12.17,13:00:00,119859.651408451,119880.52223929,119795.523196201,119797.662676056,10,0,10
2024.12.17,13:15:00,119797.662676056,119815.116247165,119735.673943662,119735.673943662,11,0,11
2024.12.17,13:30:00,119735.673943662,119756.887597406,119666.007207798,119673.685211268,12,0,12
2024.12.17,13:45:00,119673.685211268,119699.171374905,119611.696478873,119611.696478873,13,0,13
2024.12.17,14:00:00,119611.696478873,119633.367437889,119538.390152129,119549.707746479,14,0,14
2024.12.17,14:15:00,119549.707746479,119579.907367133,119480.19345757,119487.719014085,15,0,15
2024.12.17,14:30:00,119487.719014085,119504.214711877,119422.51882043,119425.73028169,16,0,16
2024.12.17,14:45:00,119425.73028169,119436.718316208,119363.741549296,119363.741549296,17,0,17
2024.12.17,15:00:00,119363.741549296,119372.202703833,119301.752816901,119301.752816901,18,0,18
2024.12.17,15:15:00,119301.752816901,119320.69141993,119237.852983882,119239.764084507,19,0,19
2024.12.17,15:30:00,119239.764084507,119264.632174943,119177.775352113,119177.775352113,20,0,20
2024.12.17,15:45:00,119177.775352113,119194.193300599,119115.254146411,119115.786619718,21,0,21
2024.12.17,16:00:00,119115.786619718,119125.679375443,119039.321566894,119053.797887324,22,0,22
2024.12.17,16:15:00,119053.797887324,119057.842845947,118991.80915493,118991.80915493,23,0,23
2024.12.17,16:30:00,118991.80915493,119002.421930139,118922.265325793,118929.820422535,24,0,24
2024.12.17,16:45:00,118929.820422535,118941.769908726,118867.831690141,118867.831690141,25,0,25
2024.12.17,17:00:00,118867.831690141,118875.233156251,118805.842957746,118805.842957746,26,0,26
2024.12.17,17:15:00,118805.842957746,118824.73365475,118743.854225352,118743.854225352,27,0,27
2024.12.17,17:30:00,118743.854225352,118749.78656949,118681.865492958,118681.865492958,28,0,28
2024.12.17,17:45:00,118681.865492958,118703.065100898,118613.731059655,118619.876760563,29,0,29
2024.12.17,18:00:00,118619.876760563,118636.37605009,118557.888028169,118557.888028169,30,0,30
2024.12.17,18:15:00,118557.888028169,118584.018857036,118492.572824074,118495.899295775,31,0,31
2024.12.17,18:30:00,118495.899295775,118511.850959181,118416.604004653,118433.91056338,32,0,32
2024.12.17,18:45:00,118433.91056338,118461.418896964,118360.999670816,118371.921830986,33,0,33
